image_path,source,merchant,address,date,total,items_text,text,category,category_3class
dataset/temp_cord/image/receipt_00000.png,CORD,,,,1591600.00,"Nasi Campur Bali (x 1), Bbk Bengil Nasi (x 1), MilkShake Starwb (x 1), Ice Lemon Tea (x 1), Nasi Ayam Dewata (x 1), Free Ice Tea (x 3), Organic Green Sa (x 1), Ice Tea (x 1), Ice Orange (x 1), Ayam Suir Bali (x 1), Tahu Goreng (x 2), Tempe Goreng (x 2), Tahu Telor Asin (x 1), Nasi Goreng Samb (x 1), Bbk Panggang Sam (x 3), Ayam Sambal Hija (x 1), Hot Tea (x 2), Ice Kopi (x 1), Tahu Telor Asin (x 1), Free Ice Tea (x 1), Bebek Street (x 1), Ice Tea Tawar (x 1)","Nasi Campur Bali (x 1), Bbk Bengil Nasi (x 1), MilkShake Starwb (x 1), Ice Lemon Tea (x 1), Nasi Ayam Dewata (x 1), Free Ice Tea (x 3), Organic Green Sa (x 1), Ice Tea (x 1), Ice Orange (x 1), Ayam Suir Bali (x 1), Tahu Goreng (x 2), Tempe Goreng (x 2), Tahu Telor Asin (x 1), Nasi Goreng Samb (x 1), Bbk Panggang Sam (x 3), Ayam Sambal Hija (x 1), Hot Tea (x 2), Ice Kopi (x 1), Tahu Telor Asin (x 1), Free Ice Tea (x 1), Bebek Street (x 1), Ice Tea Tawar (x 1)",restaurant,Food & Beverage
dataset/temp_cord/image/receipt_00001.png,CORD,,,,580965.00,"SPGTHY BOLOGNASE (1), PEPPER AUS (1), WAGYU RIBEYE (1), ICED LEMON TEA (1), FUSION TEA LYCHE (1), NUTTELA BROWNIES (1)","SPGTHY BOLOGNASE (1), PEPPER AUS (1), WAGYU RIBEYE (1), ICED LEMON TEA (1), FUSION TEA LYCHE (1), NUTTELA BROWNIES (1)",restaurant,Food & Beverage
dataset/temp_cord/image/receipt_00002.png,CORD,,,,334000.00,"HAKAU UDANG (4), SIAO MAI BABI (4), CEKER AYAM (3), BAKPAO BKR C CRISPY (2), TAHU GORENG CRISPY (3)","HAKAU UDANG (4), SIAO MAI BABI (4), CEKER AYAM (3), BAKPAO BKR C CRISPY (2), TAHU GORENG CRISPY (3)",restaurant,General Retail
dataset/temp_cord/image/receipt_00003.png,CORD,,,,302016.00,"Bintang Bremer (1), Chicken H-H (1), Ades (1)","Bintang Bremer (1), Chicken H-H (1), Ades (1)",restaurant,Food & Beverage
dataset/temp_cord/image/receipt_00005.png,CORD,,,,261333.00,"Lasagna (1), Spaghetti ChickPesto (1), BangBang Chick Wings (1), Iced Cappuccino (1), Gypsy Gelato Ice Tea (1)","Lasagna (1), Spaghetti ChickPesto (1), BangBang Chick Wings (1), Iced Cappuccino (1), Gypsy Gelato Ice Tea (1)",restaurant,Food & Beverage
dataset/temp_cord/image/receipt_00006.png,CORD,,,,61799.00,"BASO TAHU (1), ES JERUK (1)","BASO TAHU (1), ES JERUK (1)",restaurant,General Retail
dataset/temp_cord/image/receipt_00008.png,CORD,,,,36.00,"Kimchi P (1x), Fre ice grentea (1x)","Kimchi P (1x), Fre ice grentea (1x)",restaurant,Food & Beverage
dataset/temp_cord/image/receipt_00011.png,CORD,,,,250107.00,"Ayam Bakar (2), Nasi Putih (2), Nila Bakar/Goreng (1), Sop Gurame (1), Teh Poci (1)","Ayam Bakar (2), Nasi Putih (2), Nila Bakar/Goreng (1), Sop Gurame (1), Teh Poci (1)",restaurant,Food & Beverage
dataset/temp_cord/image/receipt_00012.png,CORD,,,,96000.00,"NASI + AYAM KATSU TER... (1), TEH PANAS (1), ES TEH MANIS (1), CH CORDON BLEU NASI (1)","NASI + AYAM KATSU TER... (1), TEH PANAS (1), ES TEH MANIS (1), CH CORDON BLEU NASI (1)",restaurant,Food & Beverage
dataset/temp_cord/image/receipt_00013.png,CORD,,,,247775.00,"BLACK PEPPER MEATBALL (1), GREEN TEA WITH CRUMBLE (1), EARL GREY MILK TEA (1), ORIGINAL BREWED TEA (1)","BLACK PEPPER MEATBALL (1), GREEN TEA WITH CRUMBLE (1), EARL GREY MILK TEA (1), ORIGINAL BREWED TEA (1)",restaurant,Food & Beverage
dataset/temp_cord/image/receipt_00014.png,CORD,,,,25.00,"4005-Maple glazed (x1), 6001-Plastic Bag Small (x1)","4005-Maple glazed (x1), 6001-Plastic Bag Small (x1)",restaurant,General Retail
dataset/temp_cord/image/receipt_00015.png,CORD,,,,304326.00,"BLACK PEPPER MEATBALL (1), QUARTO FORMANGGI PASTA (1), GREEN TEA WITH CRUMBLE (1), ORIGINAL BREWED TEA (2)","BLACK PEPPER MEATBALL (1), QUARTO FORMANGGI PASTA (1), GREEN TEA WITH CRUMBLE (1), ORIGINAL BREWED TEA (2)",restaurant,Food & Beverage
