image_path,label,original_path,source_folder
dataset/normalized/Receipt 1_tampered.jpg,tampered,dataset/tampered/Receipt 1_tampered.jpg,tampered
dataset/normalized/Receipt 10_tampered.jpg,tampered,dataset/tampered/Receipt 10_tampered.jpg,tampered
dataset/normalized/Receipt 11_tampered.jpg,tampered,dataset/tampered/Receipt 11_tampered.jpg,tampered
dataset/normalized/Receipt 14_tampered.jpg,tampered,dataset/tampered/Receipt 14_tampered.jpg,tampered
dataset/normalized/Receipt 16_tampered.jpg,tampered,dataset/tampered/Receipt 16_tampered.jpg,tampered
dataset/normalized/Receipt 17_tampered.jpg,tampered,dataset/tampered/Receipt 17_tampered.jpg,tampered
dataset/normalized/Receipt 18_tampered.jpg,tampered,dataset/tampered/Receipt 18_tampered.jpg,tampered
dataset/normalized/Receipt 19_tampered.jpg,tampered,dataset/tampered/Receipt 19_tampered.jpg,tampered
dataset/normalized/Receipt 20_tampered.jpg,tampered,dataset/tampered/Receipt 20_tampered.jpg,tampered
dataset/normalized/Receipt 23_tampered.jpg,tampered,dataset/tampered/Receipt 23_tampered.jpg,tampered
dataset/normalized/Receipt 24_tampered.jpg,tampered,dataset/tampered/Receipt 24_tampered.jpg,tampered
dataset/normalized/Receipt 25_tampered.jpg,tampered,dataset/tampered/Receipt 25_tampered.jpg,tampered
dataset/normalized/Receipt 27_tampered.jpg,tampered,dataset/tampered/Receipt 27_tampered.jpg,tampered
dataset/normalized/Receipt 28_tampered.jpg,tampered,dataset/tampered/Receipt 28_tampered.jpg,tampered
dataset/normalized/Receipt 29_tampered.jpg,tampered,dataset/tampered/Receipt 29_tampered.jpg,tampered
dataset/normalized/Receipt 3_tampered.jpg,tampered,dataset/tampered/Receipt 3_tampered.jpg,tampered
dataset/normalized/Receipt 30_tampered.jpg,tampered,dataset/tampered/Receipt 30_tampered.jpg,tampered
dataset/normalized/Receipt 31_tampered.jpg,tampered,dataset/tampered/Receipt 31_tampered.jpg,tampered
