image_path,label,is_tampered,binary_eligible,labelled_by,needs_pdf_conversion,image_present
dataset/tampered/Receipt 1_tampered.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 10_tampered.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 11_tampered.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 14_tampered.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 16_tampered.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 17_tampered.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 18_tampered.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 19_tampered.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 20_tampered.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 23_tampered.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 24_tampered.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 25_tampered.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 27_tampered.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 28_tampered.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 29_tampered.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 3_tampered.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 30_tampered.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 31_tampered.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 32_tampered.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 35_tampered.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 39_tampered.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 40_tampered.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 42_tampered.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 44_tampered.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 46_tampered.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 47_tampered.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 48_tampered.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 49_tampered.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 5_tampered.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 50_tampered.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 6_tampered.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 7_tampered.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 8_tampered.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 9jpg_tampered.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt(1) 2_tampered.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt(1) 3_tampered.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt(1) 4_tampered.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt(1)_tampered.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 1_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 10_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 11_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 12_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 14_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 15_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 16_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 17_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 18_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
dataset/tampered/Receipt 19_tampered_v2.jpg,tampered,1,1,Ranjeet,0,1
