image_path,merchant,date,total,category,items_text,source,total_parsed,currency,spend_category,fraud_label
dataset/temp_cord/image/receipt_00000.png,UNKNOWN,,"1,591,600",restaurant,"Nasi Campur Bali (x 1), Bbk Bengil Nasi (x 1), MilkShake Starwb (x 1), Ice Lemon Tea (x 1), Nasi Ayam Dewata (x 1), Free Ice Tea (x 3), Organic Green Sa (x 1), Ice Tea (x 1), Ice Orange (x 1), Ayam Suir Bali (x 1), Tahu Goreng (x 2), Tempe Goreng (x 2), Tahu Telor Asin (x 1), Nasi Goreng Samb (x 1), Bbk Panggang Sam (x 3), Ayam Sambal Hija (x 1), Hot Tea (x 2), Ice Kopi (x 1), Tahu Telor Asin (x 1), Free Ice Tea (x 1), Bebek Street (x 1), Ice Tea Tawar (x 1)",CORD,1591600.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00001.png,UNKNOWN,,"580,965",restaurant,"SPGTHY BOLOGNASE (1), PEPPER AUS (1), WAGYU RIBEYE (1), ICED LEMON TEA (1), FUSION TEA LYCHE (1), NUTTELA BROWNIES (1)",CORD,580965.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00002.png,UNKNOWN,,"334,000",restaurant,"HAKAU UDANG (4), SIAO MAI BABI (4), CEKER AYAM (3), BAKPAO BKR C CRISPY (2), TAHU GORENG CRISPY (3)",CORD,334000.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00003.png,UNKNOWN,,"302,016",restaurant,"Bintang Bremer (1), Chicken H-H (1), Ades (1)",CORD,302016.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00004.png,UNKNOWN,,48.000,restaurant,,CORD,48000.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00005.png,UNKNOWN,,"261,333",restaurant,"Lasagna (1), Spaghetti ChickPesto (1), BangBang Chick Wings (1), Iced Cappuccino (1), Gypsy Gelato Ice Tea (1)",CORD,261333.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00006.png,UNKNOWN,,"61,799",restaurant,"BASO TAHU (1), ES JERUK (1)",CORD,61799.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00007.png,UNKNOWN,,"36,300",restaurant,,CORD,36300.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00008.png,UNKNOWN,,36.000,restaurant,"Kimchi P (1x), Fre ice grentea (1x)",CORD,36000.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00009.png,UNKNOWN,,40.000,restaurant,,CORD,40000.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00010.png,UNKNOWN,,25.000,restaurant,,CORD,25000.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00011.png,UNKNOWN,,"250,107",restaurant,"Ayam Bakar (2), Nasi Putih (2), Nila Bakar/Goreng (1), Sop Gurame (1), Teh Poci (1)",CORD,250107.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00012.png,UNKNOWN,,"96,000",restaurant,"NASI + AYAM KATSU TER... (1), TEH PANAS (1), ES TEH MANIS (1), CH CORDON BLEU NASI (1)",CORD,96000.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00013.png,UNKNOWN,,"247,775",restaurant,"BLACK PEPPER MEATBALL (1), GREEN TEA WITH CRUMBLE (1), EARL GREY MILK TEA (1), ORIGINAL BREWED TEA (1)",CORD,247775.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00014.png,UNKNOWN,,25.000,restaurant,"4005-Maple glazed (x1), 6001-Plastic Bag Small (x1)",CORD,25000.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00015.png,UNKNOWN,,"304,326",restaurant,"BLACK PEPPER MEATBALL (1), QUARTO FORMANGGI PASTA (1), GREEN TEA WITH CRUMBLE (1), ORIGINAL BREWED TEA (2)",CORD,304326.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00016.png,UNKNOWN,,"30,000",restaurant,,CORD,30000.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00017.png,UNKNOWN,,"24,500",restaurant,"RB. COKLAT BAR (1), RB. CREPES TUNA (1), RB. SISIR PANDAN (1)",CORD,24500.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00018.png,UNKNOWN,,27500,restaurant,,CORD,27500.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00019.png,UNKNOWN,,"1,565,938",restaurant,"UDANG RE (2), AYM GR JUN NJAN (1), SAPO TH SEAFOOD (1), POCAI 3 (2), GURAME FILLET M ASAM MANIS (1), BIHUN GORENG JJ (1), ICED TEA (5), NASI PUTIH (7)",CORD,1565938.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00020.png,UNKNOWN,,"26,950",restaurant,"BUBUR UNGU, SENDOK BEBEK, WAJIK, CENTIK MANIS, PLASTIK SEDANG",CORD,26950.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00021.png,UNKNOWN,,44.000,restaurant,"1001-Choco Bun (x1), 2001-Hokkaido Milk Toast (x1), 6002-Plastic Bag Medium (x1)",CORD,44000.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00022.png,UNKNOWN,,22.000,restaurant,,CORD,22000.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00023.png,UNKNOWN,,"21,000",restaurant,,CORD,21000.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00024.png,UNKNOWN,,48.000,restaurant,"1001-Choco Bun (x1), 1032-Double Cheddar (x1), 6002-Plastic Bag Medium (x1)",CORD,48000.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00025.png,UNKNOWN,,"14,000",restaurant,,CORD,14000.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00026.png,UNKNOWN,,16.500,restaurant,,CORD,16500.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00027.png,UNKNOWN,,"Rp 30,000",restaurant,,CORD,30000.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00028.png,UNKNOWN,,"8,800",restaurant,,CORD,8800.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00029.png,UNKNOWN,,"226,500.00",restaurant,"AMBUSH DBL CHS BURG (11), AMBUSH CHS BURGER (4), TAKE AWAY CHARGE (1)",CORD,22650000.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00030.png,UNKNOWN,,"9,000",restaurant,"VANDOOLEN, PLASTIK 25",CORD,9000.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00031.png,UNKNOWN,,"31,500",restaurant,"Chicken HCC, 1Pcs (1), Colonel Burger (1)",CORD,31500.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00032.png,UNKNOWN,,"36,000",restaurant,,CORD,36000.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00033.png,UNKNOWN,,"10,200",restaurant,"AREM - AREM (1X), LEMPER (1X), PLASTIK KECIL (1X)",CORD,10200.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00034.png,UNKNOWN,,30.000,restaurant,,CORD,30000.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00035.png,UNKNOWN,,289000,restaurant,,CORD,289000.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00036.png,UNKNOWN,,"599,955",restaurant,"GONG GIBAB (1), BO SSAM (1), HAEMUL DENJANG JJIGAE (1), MULNAENGMYO N (1)",CORD,599955.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00037.png,UNKNOWN,,"13,500",restaurant,,CORD,13500.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00038.png,UNKNOWN,,24.000,restaurant,,CORD,24000.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00039.png,UNKNOWN,,"70,000",restaurant,,CORD,70000.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00040.png,UNKNOWN,,"125,334",restaurant,"BURGER CHIC DECKER (1), Home Made Lemonade (1)",CORD,125334.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00041.png,UNKNOWN,,"44,999",restaurant,,CORD,44999.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00042.png,UNKNOWN,,"28,000",restaurant,,CORD,28000.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00043.png,UNKNOWN,,"60,999",restaurant,"Nutella Cheese (1), Toblerone BanCheese (1)",CORD,60999.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00044.png,UNKNOWN,,"282,000",restaurant,"CHOCO PUFF (1), CREAMY BEEF CLS FTC (1), NEW ORIENTAL CHK RICE (1), LIPTON PITCHER (1), SC/P SUPER SUPREME (1), CB/P BLACK PEPP BEEF (1)",CORD,282000.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00045.png,UNKNOWN,,22.000,restaurant,"1 (2), Large *Plastik Kcl (1)",CORD,22000.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00046.png,UNKNOWN,,48.000,restaurant,,CORD,48000.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00047.png,UNKNOWN,,"20,000",restaurant,,CORD,20000.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00048.png,UNKNOWN,,73.450,restaurant,"Jamur Crispy (2), Nasi Putih (2), Sambel Kecap (2), Es Teh (2)",CORD,73450.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00049.png,UNKNOWN,,"29,000",restaurant,,CORD,29000.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00050.png,UNKNOWN,,"33,000",restaurant,"CHO MOUSSE, GRAPE JELLY",CORD,33000.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00051.png,UNKNOWN,,33.000,restaurant,"Kopi Susu Sudirman (1x), Chocolate Twist (1x)",CORD,33000.00,IDR,restaurant,
dataset/temp_cord/image/receipt_00052.png,UNKNOWN,,30000,restaurant,"RTD Kunyit (1), Tepung Jagung (1)",CORD,30000.00,IDR,restaurant,
