user_id,category,merchant,amount,rating,is_synthetic
synthetic_user_001,General Retail,CROSS CHANNEL NETWORK SDN. BHD.,7.95,3,1
synthetic_user_001,General Retail,UNIHAKKA INTERNATIONAL SDN BHD,12.20,3,1
synthetic_user_001,General Retail,UNKNOWN,134.00,5,1
synthetic_user_001,General Retail,UNKNOWN,38.00,3,1
synthetic_user_001,General Retail,AEON CO. (M) BHD,31.00,5,1
synthetic_user_001,General Retail,UNKNOWN,34000.00,5,1
synthetic_user_001,General Retail,SYARIKAT PERNIAGAAN GIN KEE,11.13,3,1
synthetic_user_002,Food & Beverage,UNKNOWN,261333.00,3,1
synthetic_user_002,Food & Beverage,UNKNOWN,81000.00,3,1
synthetic_user_002,Food & Beverage,ONE ONE THREE SEAFOOD RESTAURANT SDN BHD,59.00,4,1
synthetic_user_002,Food & Beverage,BANH MI CAFE SDN BHD,23.25,3,1
synthetic_user_002,Food & Beverage,UNKNOWN,79.20,5,1
synthetic_user_002,Food & Beverage,UNKNOWN,25000.00,5,1
synthetic_user_002,Food & Beverage,UNKNOWN,300300.00,4,1
synthetic_user_002,Food & Beverage,UNKNOWN,25500.00,5,1
synthetic_user_002,Food & Beverage,GARDENIA BAKERIES (KL) SDN BHD,40.18,3,1
synthetic_user_002,Supermarket / Grocery,99 SPEED MART S/B,42.35,3,1
synthetic_user_002,Supermarket / Grocery,99 SPEED MART S/B,5.35,3,1
synthetic_user_002,Food & Beverage,GARDENIA BAKERIES (KL) SDN BHD,51.42,4,1
synthetic_user_002,Food & Beverage,UNKNOWN,1303112.00,3,1
synthetic_user_002,General Retail,CHEF LEE SDN BHD,96.20,4,1
synthetic_user_002,Food & Beverage,GARDENIA BAKERIES (KL) SDN BHD,51.42,3,1
synthetic_user_003,General Retail,MR. D. I. Y. (KUCHAI) SDN BHD,11.90,4,1
synthetic_user_003,General Retail,MR. D.I.Y. (M) SDN BHD,7.15,5,1
synthetic_user_003,Supermarket / Grocery,GHEE HIANG GH DISTRIBUTOR & MARKETING SDN BHD,25.00,2,1
synthetic_user_003,General Retail,UNKNOWN,48001.00,4,1
synthetic_user_003,General Retail,UNKNOWN,31500.00,3,1
synthetic_user_003,General Retail,UNIHAKKA INTERNATIONAL SDN BHD,7.70,5,1
synthetic_user_003,General Retail,WESTERN EASTERN ST TIONERY SDN. BHD,5.00,4,1
synthetic_user_003,General Retail,KEDAI PAPAN YEW CHUAN,190.80,5,1
synthetic_user_003,General Retail,YONGFATT ENTERPRISE,80.90,3,1
synthetic_user_003,General Retail,TONYMOLY VIVA CITY,39.90,5,1
synthetic_user_003,General Retail,BIRU PETROLEUM,6.40,4,1
synthetic_user_003,Food & Beverage,RESTORAN HASSANBISTRO,15.00,2,1
synthetic_user_003,Supermarket / Grocery,99 SPEED MART S/B,37.45,3,1
synthetic_user_003,General Retail,UNKNOWN,94000.00,3,1
synthetic_user_003,General Retail,UNKNOWN,36362.00,5,1
synthetic_user_003,General Retail,UNKNOWN,1376500.00,4,1
synthetic_user_003,General Retail,MY HAPPY PHARMACY PLT,20.50,5,1
synthetic_user_004,Supermarket / Grocery,STAR GROCER SDN BHD,66.15,4,1
synthetic_user_004,Food & Beverage,ONE ONE THREE SEAFOOD RESTAURANT SDN BHD,58.00,5,1
synthetic_user_004,Food & Beverage,UNKNOWN,25500.00,4,1
synthetic_user_004,Food & Beverage,UNKNOWN,580965.00,5,1
