fold,epoch,train_loss,val_auc,phase
1,1,0.6401,0.6125,head
1,2,0.5347,0.6553,head
1,3,0.4958,0.6895,head
1,4,0.5408,0.7635,finetune
1,5,0.4407,0.7607,finetune
1,6,0.4321,0.7578,finetune
1,7,0.3982,0.7578,finetune
1,8,0.4194,0.7778,finetune
1,9,0.354,0.7863,finetune
1,10,0.3397,0.8006,finetune
1,11,0.3257,0.8177,finetune
1,12,0.376,0.8462,finetune
1,13,0.396,0.849,finetune
1,14,0.3255,0.812,finetune
1,15,0.3252,0.7493,finetune
2,1,0.6681,0.6689,head
2,2,0.565,0.699,head
2,3,0.5543,0.7124,head
2,4,0.5212,0.7124,finetune
2,5,0.4714,0.7559,finetune
2,6,0.4418,0.7592,finetune
2,7,0.4299,0.7592,finetune
2,8,0.3951,0.7391,finetune
2,9,0.3233,0.7625,finetune
2,10,0.4611,0.7692,finetune
2,11,0.3582,0.7692,finetune
2,12,0.3267,0.7692,finetune
2,13,0.3585,0.7692,finetune
2,14,0.324,0.7659,finetune
2,15,0.353,0.7592,finetune
3,1,0.7521,0.6488,head
3,2,0.7553,0.8542,head
3,3,0.6474,0.8512,head
3,4,0.6075,0.872,finetune
3,5,0.4577,0.7262,finetune
3,6,0.4301,0.747,finetune
3,7,0.4155,0.8155,finetune
3,8,0.4816,0.8095,finetune
3,9,0.4124,0.8601,finetune
4,1,0.6996,0.7586,head
4,2,0.6018,0.6631,head
4,3,0.5407,0.6711,head
4,4,0.5758,0.5995,finetune
4,5,0.4115,0.6127,finetune
4,6,0.4201,0.5225,finetune
5,1,0.8294,0.6753,head
5,2,0.8059,0.8864,head
5,3,0.5811,0.9091,head
5,4,0.6476,0.8864,finetune
5,5,0.523,0.8929,finetune
5,6,0.4747,0.8896,finetune
5,7,0.4495,0.8831,finetune
5,8,0.4406,0.9026,finetune
