fold,epoch,train_loss,val_auc,phase
1,1,0.6406,0.6125,head
1,2,0.5346,0.6553,head
1,3,0.4959,0.6895,head
1,4,0.5423,0.7607,finetune
1,5,0.4428,0.7578,finetune
1,6,0.4372,0.755,finetune
1,7,0.3998,0.755,finetune
1,8,0.419,0.7778,finetune
1,9,0.3605,0.7892,finetune
1,10,0.339,0.8063,finetune
1,11,0.3262,0.8462,finetune
1,12,0.3691,0.8291,finetune
1,13,0.4084,0.8405,finetune
1,14,0.3339,0.8262,finetune
1,15,0.3198,0.7778,finetune
2,1,0.6691,0.6622,head
2,2,0.5655,0.6957,head
2,3,0.5554,0.709,head
2,4,0.5205,0.7224,finetune
2,5,0.4696,0.7559,finetune
2,6,0.4402,0.7659,finetune
2,7,0.4261,0.7659,finetune
2,8,0.3923,0.7492,finetune
2,9,0.3209,0.7559,finetune
2,10,0.4571,0.7659,finetune
2,11,0.3606,0.7625,finetune
3,1,0.7074,0.8304,head
3,2,0.6082,0.872,head
3,3,0.6135,0.8333,head
3,4,0.5853,0.8571,finetune
3,5,0.4291,0.7917,finetune
3,6,0.3889,0.869,finetune
3,7,0.3991,0.8185,finetune
4,1,0.6871,0.6578,head
4,2,0.5776,0.7135,head
4,3,0.6816,0.679,head
4,4,0.5698,0.6207,finetune
4,5,0.4846,0.5889,finetune
4,6,0.4264,0.5889,finetune
4,7,0.4048,0.6313,finetune
5,1,0.6713,0.8669,head
5,2,0.5746,0.8896,head
5,3,0.5785,0.8896,head
5,4,0.619,0.9091,finetune
5,5,0.4341,0.9058,finetune
5,6,0.4777,0.9058,finetune
5,7,0.4498,0.9091,finetune
5,8,0.4234,0.8896,finetune
5,9,0.4223,0.8994,finetune
