fold,epoch,train_loss,val_auc,phase
1,1,0.6537,0.6496,head
1,2,0.5451,0.6467,head
1,3,0.5286,0.6638,head
1,4,0.6402,0.735,finetune
1,5,0.4105,0.7436,finetune
1,6,0.4263,0.7464,finetune
1,7,0.3976,0.755,finetune
1,8,0.4994,0.7436,finetune
1,9,0.4227,0.7464,finetune
1,10,0.3958,0.7635,finetune
1,11,0.3774,0.7692,finetune
1,12,0.4085,0.7436,finetune
1,13,0.4413,0.7835,finetune
1,14,0.3959,0.7863,finetune
1,15,0.4022,0.7806,finetune
2,1,0.6796,0.7191,head
2,2,0.6171,0.7525,head
2,3,0.7331,0.7358,head
2,4,0.6408,0.7391,finetune
2,5,0.5056,0.7659,finetune
2,6,0.4509,0.7726,finetune
2,7,0.4782,0.7224,finetune
2,8,0.4168,0.7324,finetune
2,9,0.3734,0.7224,finetune
2,10,0.4138,0.7625,finetune
2,11,0.4033,0.7458,finetune
3,1,0.6924,0.8244,head
3,2,0.5947,0.8661,head
3,3,0.6412,0.8452,head
3,4,0.6597,0.6042,finetune
3,5,0.4858,0.872,finetune
3,6,0.4431,0.9018,finetune
3,7,0.4547,0.875,finetune
3,8,0.5141,0.8214,finetune
3,9,0.4622,0.8869,finetune
3,10,0.4609,0.8899,finetune
3,11,0.4389,0.8363,finetune
4,1,0.7261,0.6048,head
4,2,0.5906,0.6499,head
4,3,0.6139,0.6764,head
4,4,0.5519,0.6605,finetune
4,5,0.4756,0.6286,finetune
4,6,0.4537,0.6897,finetune
4,7,0.449,0.6286,finetune
4,8,0.4378,0.6207,finetune
4,9,0.4929,0.6631,finetune
4,10,0.4651,0.6021,finetune
4,11,0.4456,0.5782,finetune
5,1,0.7186,0.8149,head
5,2,0.5902,0.8377,head
5,3,0.5823,0.8831,head
5,4,0.615,0.9026,finetune
5,5,0.4833,0.8896,finetune
5,6,0.4491,0.8896,finetune
5,7,0.4666,0.8701,finetune
5,8,0.524,0.8734,finetune
5,9,0.4343,0.8636,finetune
